"sub","task","fbcond","trialdifflevel","rt","resp","cor","cj","RTconf","fb"
1,"dotcolour","lowSC","average",1.219,1,1,-99,-0.099,0.68
1,"dotcolour","lowSC","easy",0.502,-1,1,-99,-0.099,0.68
1,"dotcolour","lowSC","average",0.551,-1,1,-99,-0.099,0.68
1,"dotcolour","lowSC","average",0.351,1,1,-99,-0.099,0.68
1,"dotcolour","lowSC","easy",0.485,1,1,-99,-0.099,0.68
1,"dotcolour","lowSC","hard",0.635,-1,0,-99,-0.099,0.68
1,"dotcolour","lowSC","easy",0.452,-1,1,-99,-0.099,0.68
1,"dotcolour","lowSC","easy",0.435,1,1,-99,-0.099,0.68
1,"dotcolour","lowSC","easy",0.384,-1,1,-99,-0.099,0.68
1,"dotcolour","lowSC","hard",0.585,-1,1,-99,-0.099,0.68
1,"dotcolour","lowSC","easy",0.401,-1,1,-99,-0.099,0.68
1,"dotcolour","lowSC","hard",0.485,1,1,-99,-0.099,0.68
1,"dotcolour","lowSC","hard",0.668,-1,1,-99,-0.099,0.68
1,"dotcolour","lowSC","easy",0.335,-1,0,-99,-0.099,0.68
1,"dotcolour","lowSC","average",0.468,-1,1,-99,-0.099,0.68
1,"dotcolour","lowSC","average",0.519,-1,1,-99,-0.099,0.68
1,"dotcolour","lowSC","hard",0.5,-1,1,-99,-0.099,0.68
1,"dotcolour","lowSC","hard",0.501,-1,0,-99,-0.099,0.68
1,"dotcolour","lowSC","average",0.451,1,1,-99,-0.099,0.68
1,"dotcolour","lowSC","hard",0.351,1,1,-99,-0.099,0.68
1,"dotcolour","lowSC","easy",0.451,1,1,-99,-0.099,0.68
1,"dotcolour","lowSC","average",0.501,1,1,-99,-0.099,0.68
1,"dotcolour","lowSC","easy",0.401,1,1,-99,-0.099,0.68
1,"dotcolour","lowSC","hard",0.517,-1,0,-99,-0.099,0.68
1,"dotcolour","lowSC","easy",0.401,-1,1,-99,-0.099,0.53
1,"dotcolour","lowSC","easy",0.451,1,1,-99,-0.099,0.53
1,"dotcolour","lowSC","easy",0.401,1,1,-99,-0.099,0.53
1,"dotcolour","lowSC","hard",0.351,1,1,-99,-0.099,0.53
1,"dotcolour","lowSC","easy",0.384,-1,1,-99,-0.099,0.53
1,"dotcolour","lowSC","hard",0.702,-1,0,-99,-0.099,0.53
1,"dotcolour","lowSC","easy",0.452,1,0,-99,-0.099,0.53
1,"dotcolour","lowSC","average",0.451,1,1,-99,-0.099,0.53
1,"dotcolour","lowSC","hard",0.617,-1,0,-99,-0.099,0.53
1,"dotcolour","lowSC","average",0.435,-1,1,-99,-0.099,0.53
1,"dotcolour","lowSC","average",0.401,-1,1,-99,-0.099,0.53
1,"dotcolour","lowSC","average",0.434,-1,1,-99,-0.099,0.53
1,"dotcolour","lowSC","hard",0.818,1,0,-99,-0.099,0.53
1,"dotcolour","lowSC","hard",0.585,1,1,-99,-0.099,0.53
1,"dotcolour","lowSC","hard",0.534,-1,1,-99,-0.099,0.53
1,"dotcolour","lowSC","average",0.501,-1,1,-99,-0.099,0.53
1,"dotcolour","lowSC","average",0.467,1,1,-99,-0.099,0.53
1,"dotcolour","lowSC","hard",0.535,-1,1,-99,-0.099,0.53
1,"dotcolour","lowSC","easy",0.501,1,1,-99,-0.099,0.53
1,"dotcolour","lowSC","hard",0.519,-1,0,-99,-0.099,0.53
1,"dotcolour","lowSC","easy",0.367,-1,1,-99,-0.099,0.53
1,"dotcolour","lowSC","easy",0.385,1,1,-99,-0.099,0.53
1,"dotcolour","lowSC","hard",0.369,-1,1,-99,-0.099,0.53
1,"dotcolour","lowSC","easy",0.485,1,1,-99,-0.099,0.53
1,"dotcolour","lowSC","hard",0.551,-1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","hard",0.451,-1,0,-99,-0.099,0.57
1,"dotcolour","lowSC","hard",0.718,-1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","average",0.368,1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","easy",0.351,1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","easy",0.402,-1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","average",0.385,-1,0,-99,-0.099,0.57
1,"dotcolour","lowSC","hard",0.586,1,0,-99,-0.099,0.57
1,"dotcolour","lowSC","average",0.518,1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","average",0.368,-1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","hard",0.502,-1,0,-99,-0.099,0.57
1,"dotcolour","lowSC","easy",0.386,1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","easy",2.47,1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","easy",0.434,-1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","easy",0.468,1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","easy",0.452,-1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","hard",0.485,1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","average",0.369,1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","hard",0.601,1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","easy",0.385,1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","average",0.369,-1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","easy",0.401,-1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","easy",0.368,-1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","average",0.401,-1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","easy",0.401,-1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","easy",0.385,-1,1,-99,-0.099,0.57
1,"dotcolour","lowSC","hard",0.552,1,1,-99,-0.099,0.57
