starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,n_reddots,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613576278,dotnumber,0,0,training,hard,hard,50,55,652,['n'],1,right,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,1,0,training,hard,hard,55,50,969,['n'],0,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,2,0,training,hard,hard,50,51,1186,['c'],0,right,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,3,0,training,hard,hard,50,54,718,['n'],1,right,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,4,0,training,hard,hard,50,49,818,['n'],0,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,5,0,training,hard,hard,50,54,853,['n'],1,right,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,6,0,training,hard,hard,45,50,751,['n'],1,right,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,7,0,training,hard,hard,50,45,935,['c'],1,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,8,0,training,hard,hard,50,55,618,['n'],1,right,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,9,0,training,hard,hard,50,46,985,['c'],1,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,10,0,training,hard,hard,47,50,852,['n'],1,right,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,11,0,training,hard,hard,45,50,817,['c'],0,right,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,12,0,training,hard,hard,54,50,669,['c'],1,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,13,0,training,hard,hard,51,50,735,['c'],1,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,14,0,training,hard,hard,55,50,902,['n'],0,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,15,0,training,hard,hard,53,50,802,['c'],1,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,16,0,training,hard,hard,50,48,735,['n'],0,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,17,0,training,hard,hard,54,50,769,['n'],0,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,18,0,training,hard,hard,50,55,868,['n'],1,right,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,19,0,training,hard,hard,50,46,902,['n'],0,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,20,0,training,hard,hard,46,50,784,['n'],1,right,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,21,0,training,hard,hard,50,49,1068,['n'],0,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,22,0,training,hard,hard,46,50,1018,['c'],0,right,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,23,0,training,hard,hard,49,50,802,['n'],1,right,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,0,1,training,hard,hard,49,50,1369,['n'],1,right,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,1,1,training,hard,hard,50,49,1036,['c'],1,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,2,1,training,hard,hard,52,50,802,['n'],0,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,3,1,training,hard,hard,47,50,817,['n'],1,right,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,4,1,training,hard,hard,50,54,818,['n'],1,right,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,5,1,training,hard,hard,50,46,1002,['c'],1,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,6,1,training,hard,hard,50,53,918,['n'],1,right,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,7,1,training,hard,hard,50,48,1235,['n'],0,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,8,1,training,hard,hard,50,47,902,['n'],0,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,9,1,training,hard,hard,46,50,1002,['n'],1,right,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,10,1,training,hard,hard,47,50,818,['n'],1,right,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,11,1,training,hard,hard,51,50,1135,['c'],1,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,12,1,training,hard,hard,52,50,1336,['c'],1,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,13,1,training,hard,hard,50,49,1336,['n'],0,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,14,1,training,hard,hard,50,53,768,['n'],1,right,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,15,1,training,hard,hard,47,50,1003,['n'],1,right,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,16,1,training,hard,hard,52,50,936,['n'],0,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
,dotnumber,17,1,training,hard,hard,51,50,851,['n'],0,left,none,-99,-99,,,,,,,,29,20,Vrouw,Rechts,
