starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613576143,dotcolour,0,0,training,easy,easy,61,1903,['n'],0,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,1,0,training,easy,easy,61,702,['c'],1,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,2,0,training,easy,easy,61,668,['c'],1,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,3,0,training,easy,easy,64,1369,['n'],0,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,4,0,training,easy,easy,16,602,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,5,0,training,easy,easy,19,652,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,6,0,training,easy,easy,63,552,['c'],1,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,7,0,training,easy,easy,63,686,['c'],1,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,8,0,training,easy,easy,61,518,['c'],1,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,9,0,training,easy,easy,19,602,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,10,0,training,easy,easy,15,601,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,11,0,training,easy,easy,15,468,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,12,0,training,easy,easy,65,485,['c'],1,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,13,0,training,easy,easy,65,485,['c'],1,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,14,0,training,easy,easy,18,584,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,15,0,training,easy,easy,19,519,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,16,0,training,easy,easy,16,535,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,17,0,training,easy,easy,18,534,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,18,0,training,easy,easy,17,569,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,19,0,training,easy,easy,17,501,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,20,0,training,easy,easy,62,418,['c'],1,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,21,0,training,easy,easy,61,485,['c'],1,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,22,0,training,easy,easy,19,618,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,23,0,training,easy,easy,61,534,['c'],1,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,0,1,training,easy,easy,64,868,['c'],1,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,1,1,training,easy,easy,64,585,['c'],1,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,2,1,training,easy,easy,19,468,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,3,1,training,easy,easy,63,384,['c'],1,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,4,1,training,easy,easy,19,669,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,5,1,training,easy,easy,15,652,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,6,1,training,easy,easy,62,452,['c'],1,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,7,1,training,easy,easy,18,568,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,8,1,training,easy,easy,18,736,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,9,1,training,easy,easy,16,586,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,10,1,training,easy,easy,17,652,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,11,1,training,easy,easy,15,552,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,12,1,training,easy,easy,65,651,['c'],1,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,13,1,training,easy,easy,62,851,['c'],1,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,14,1,training,easy,easy,15,651,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,15,1,training,easy,easy,65,550,['c'],1,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,16,1,training,easy,easy,61,636,['c'],1,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,17,1,training,easy,easy,62,768,['c'],1,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,18,1,training,easy,easy,19,819,['n'],1,right,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
,dotcolour,19,1,training,easy,easy,61,485,['c'],1,left,none,-99,-99,,,,,,,,,31,18,Vrouw,Links,
