starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1614008302,xotask,0,0,training,hard,hard,44,2305,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,1,0,training,hard,hard,37,1119,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,2,0,training,hard,hard,46,918,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,3,0,training,hard,hard,45,969,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,4,0,training,hard,hard,44,1070,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,5,0,training,hard,hard,45,1185,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,6,0,training,hard,hard,34,985,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,7,0,training,hard,hard,33,836,['c'],0,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,8,0,training,hard,hard,42,1052,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,9,0,training,hard,hard,43,1086,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,10,0,training,hard,hard,45,1137,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,11,0,training,hard,hard,33,885,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,12,0,training,hard,hard,33,819,['c'],0,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,13,0,training,hard,hard,35,952,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,14,0,training,hard,hard,33,1036,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,15,0,training,hard,hard,33,1118,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,16,0,training,hard,hard,34,919,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,17,0,training,hard,hard,35,868,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,18,0,training,hard,hard,35,768,['c'],0,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,19,0,training,hard,hard,33,769,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,20,0,training,hard,hard,42,935,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,21,0,training,hard,hard,43,1268,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,22,0,training,hard,hard,42,936,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,23,0,training,hard,hard,45,1185,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,0,1,training,hard,hard,46,1186,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,1,1,training,hard,hard,35,1102,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,2,1,training,hard,hard,33,985,['c'],0,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,3,1,training,hard,hard,34,1052,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,4,1,training,hard,hard,37,868,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,5,1,training,hard,hard,46,1235,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,6,1,training,hard,hard,46,919,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,7,1,training,hard,hard,43,768,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,8,1,training,hard,hard,42,1318,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,9,1,training,hard,hard,37,669,['c'],0,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,10,1,training,hard,hard,45,802,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,11,1,training,hard,hard,46,768,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,12,1,training,hard,hard,46,769,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,13,1,training,hard,hard,34,1452,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,14,1,training,hard,hard,35,919,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,15,1,training,hard,hard,36,719,['c'],0,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,16,1,training,hard,hard,46,2236,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,17,1,training,hard,hard,33,1001,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,18,1,training,hard,hard,43,769,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,19,1,training,hard,hard,46,885,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,20,1,training,hard,hard,37,1335,['c'],0,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,21,1,training,hard,hard,46,869,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,22,1,training,hard,hard,36,952,['c'],0,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,23,1,training,hard,hard,34,802,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,0,2,training,hard,hard,36,2720,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,1,2,training,hard,hard,35,969,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
