sub,SubjectiveInfluenceFb,FeedbackCredibility,ManipulationAwareness
1,CJinfluence,credible,oblivious
11,CJinfluence,sometimes,somewhat
12,noinfluence,sometimes,somewhat
13,motivationinfluence,credible,oblivious
14,motivationinfluence,sometimes,aware
15,motivationinfluence,credible,oblivious
16,CJinfluence,credible,oblivious
17,motivationinfluence,credible,oblivious
18,motivationinfluence,uncredible,aware
19,motivationinfluence,credible,oblivious
2,motivationinfluence,uncredible,somewhat
20,CJinfluence,uncredible,aware
21,motivationinfluence,uncredible,aware
22,motivationinfluence,credible,somewhat
23,CJinfluence,sometimes,somewhat
24,motivationinfluence,sometimes,somewhat
25,motivationinfluence,credible,oblivious
26,CJinfluence,credible,oblivious
27,motivationinfluence,sometimes,somewhat
28,CJinfluence,credible,somewhat
29,CJinfluence,credible,somewhat
3,motivationinfluence,credible,oblivious
30,noinfluence,credible,somewhat
31,CJinfluence,credible,oblivious
32,motivationinfluence,credible,somewhat
33,CJinfluence,credible,somewhat
34,CJinfluence,credible,oblivious
35,motivationinfluence,sometimes,somewhat
36,noinfluence,uncredible,aware
37,motivationinfluence,uncredible,aware
38,CJinfluence,uncredible,oblivious
39,motivationinfluence,credible,oblivious
4,noinfluence,credible,somewhat
40,CJinfluence,sometimes,somewhat
41,CJinfluence,credible,oblivious
42,CJinfluence,uncredible,somewhat
43,CJinfluence,credible,oblivious
44,CJinfluence,sometimes,somewhat
45,CJinfluence,sometimes,aware
46,noinfluence,uncredible,aware
47,motivationinfluence,uncredible,aware
48,noinfluence,uncredible,oblivious
5,motivationinfluence,credible,somewhat
50,motivationinfluence,credible,oblivious
6,motivationinfluence,sometimes,somewhat
7,motivationinfluence,sometimes,somewhat
8,motivationinfluence,credible,oblivious
9,noinfluence,uncredible,somewhat
