"sub","task","traindiffcond","coh","rt","resp","cor","cj","RTconf"
1,"dotcolour","average","average",2.754,-1,0,-99,-0.099
1,"dotcolour","average","average",1.069,1,0,-99,-0.099
1,"dotcolour","average","average",1.535,-1,1,-99,-0.099
1,"dotcolour","average","average",0.802,-1,1,-99,-0.099
1,"dotcolour","average","average",0.736,1,1,-99,-0.099
1,"dotcolour","average","average",0.635,-1,1,-99,-0.099
1,"dotcolour","average","average",0.819,1,1,-99,-0.099
1,"dotcolour","average","average",0.67,-1,1,-99,-0.099
1,"dotcolour","average","average",0.701,-1,1,-99,-0.099
1,"dotcolour","average","average",1.653,1,0,-99,-0.099
1,"dotcolour","average","average",0.752,1,1,-99,-0.099
1,"dotcolour","average","average",0.652,1,1,-99,-0.099
1,"dotcolour","average","average",0.836,-1,1,-99,-0.099
1,"dotcolour","average","average",0.751,-1,1,-99,-0.099
1,"dotcolour","average","average",0.702,1,1,-99,-0.099
1,"dotcolour","average","average",1.268,1,1,-99,-0.099
1,"dotcolour","average","average",0.885,-1,1,-99,-0.099
1,"dotcolour","average","average",0.718,1,1,-99,-0.099
1,"dotcolour","average","average",0.601,1,1,-99,-0.099
1,"dotcolour","average","average",1.003,-1,1,-99,-0.099
1,"dotcolour","average","average",1.168,1,1,-99,-0.099
1,"dotcolour","average","average",0.785,1,1,-99,-0.099
1,"dotcolour","average","average",0.753,-1,1,-99,-0.099
1,"dotcolour","average","average",0.635,1,1,-99,-0.099
1,"dotcolour","average","average",0.985,1,1,-99,-0.099
1,"dotcolour","average","average",1.369,1,0,-99,-0.099
1,"dotcolour","average","average",0.886,1,1,-99,-0.099
1,"dotcolour","average","average",0.986,1,1,-99,-0.099
1,"dotcolour","average","average",0.835,-1,1,-99,-0.099
1,"dotcolour","average","average",0.769,-1,1,-99,-0.099
1,"dotcolour","average","average",1.869,-1,1,-99,-0.099
1,"dotcolour","average","average",1.119,1,0,-99,-0.099
1,"dotcolour","average","average",1.503,1,1,-99,-0.099
1,"dotcolour","average","average",0.985,1,1,-99,-0.099
1,"dotcolour","average","average",1.185,1,1,-99,-0.099
1,"dotcolour","average","average",1.57,-1,1,-99,-0.099
1,"dotcolour","average","average",0.785,1,1,-99,-0.099
1,"dotcolour","average","average",0.619,1,1,-99,-0.099
1,"dotcolour","average","average",0.634,-1,1,-99,-0.099
1,"dotcolour","average","average",0.835,-1,1,-99,-0.099
1,"dotcolour","average","average",0.684,1,0,-99,-0.099
1,"dotcolour","average","average",0.818,1,1,-99,-0.099
1,"dotcolour","average","average",0.602,-1,1,-99,-0.099
1,"dotcolour","average","average",0.869,1,1,-99,-0.099
1,"dotcolour","average","average",0.751,-1,1,-99,-0.099
1,"dotcolour","average","average",0.651,1,1,-99,-0.099
1,"dotcolour","average","average",0.868,1,1,-99,-0.099
1,"dotcolour","average","average",0.635,-1,1,-99,-0.099
1,"dotcolour","average","average",0.902,-1,1,-99,-0.099
1,"dotcolour","average","average",0.601,1,1,-99,-0.099
1,"dotcolour","average","average",0.685,-1,1,-99,-0.099
1,"dotcolour","average","average",0.603,1,1,-99,-0.099
1,"dotcolour","average","average",0.652,1,1,-99,-0.099
1,"dotcolour","average","average",0.952,1,1,-99,-0.099
1,"dotcolour","average","average",0.635,-1,1,-99,-0.099
1,"dotcolour","average","average",0.535,1,1,-99,-0.099
1,"dotcolour","average","average",1.102,-1,1,-99,-0.099
1,"dotcolour","average","average",0.985,-1,1,-99,-0.099
1,"dotcolour","average","average",0.702,1,1,-99,-0.099
1,"dotcolour","average","average",0.669,-1,1,-99,-0.099
1,"dotcolour","average","average",0.884,-1,1,-99,-0.099
1,"dotcolour","average","average",0.635,1,1,-99,-0.099
1,"dotcolour","average","average",0.635,1,1,-99,-0.099
1,"dotcolour","average","average",0.769,-1,1,-99,-0.099
1,"dotcolour","average","average",0.736,-1,1,-99,-0.099
1,"dotcolour","average","average",0.452,1,1,-99,-0.099
1,"dotcolour","average","average",0.668,-1,1,-99,-0.099
1,"dotcolour","average","average",0.636,-1,1,-99,-0.099
1,"dotcolour","average","average",1.019,1,0,-99,-0.099
1,"dotcolour","average","average",0.769,1,1,-99,-0.099
1,"dotcolour","average","average",0.768,1,1,-99,-0.099
1,"dotcolour","average","average",0.602,1,1,-99,-0.099
1,"dotcolour","average","average",1.653,-1,1,-99,-0.099
1,"dotcolour","average","average",0.836,-1,1,-99,-0.099
1,"dotcolour","average","average",1.135,-1,1,-99,-0.099
1,"dotcolour","average","average",0.602,1,1,-99,-0.099
1,"dotcolour","average","average",0.818,-1,1,-99,-0.099
1,"dotcolour","average","average",0.667,1,1,-99,-0.099
1,"dotcolour","average","average",0.769,1,1,-99,-0.099
1,"dotcolour","average","average",0.768,-1,1,-99,-0.099
1,"dotcolour","average","average",2.154,-1,1,-99,-0.099
1,"dotcolour","average","average",0.635,-1,1,-99,-0.099
1,"dotcolour","average","average",0.635,1,1,-99,-0.099
1,"dotcolour","average","average",0.635,1,1,-99,-0.099
1,"dotcolour","average","average",0.567,1,1,-99,-0.099
1,"dotcolour","average","average",0.767,1,0,-99,-0.099
1,"dotcolour","average","average",0.602,1,1,-99,-0.099
1,"dotcolour","average","average",0.602,1,1,-99,-0.099
1,"dotcolour","average","average",1.07,1,0,-99,-0.099
1,"dotcolour","average","average",0.652,1,1,-99,-0.099
1,"dotcolour","average","average",0.968,-1,1,-99,-0.099
1,"dotcolour","average","average",0.569,1,1,-99,-0.099
1,"dotcolour","average","average",1.402,-1,1,-99,-0.099
1,"dotcolour","average","average",0.886,1,1,-99,-0.099
1,"dotcolour","average","average",1.753,-1,1,-99,-0.099
1,"dotcolour","average","average",0.685,1,1,-99,-0.099
1,"dotcolour","average","average",0.8,1,1,-99,-0.099
1,"dotcolour","average","average",0.602,1,1,-99,-0.099
1,"dotcolour","average","average",0.634,-1,1,-99,-0.099
1,"dotcolour","average","average",0.654,1,1,-99,-0.099
1,"dotcolour","average","average",0.702,-1,1,-99,-0.099
1,"dotcolour","average","average",1.203,-1,1,-99,-0.099
1,"dotcolour","average","average",0.635,1,1,-99,-0.099
1,"dotcolour","average","average",0.952,-1,1,-99,-0.099
1,"dotcolour","average","average",0.668,-1,1,-99,-0.099
1,"dotcolour","average","average",0.901,-1,1,-99,-0.099
1,"dotcolour","average","average",1.018,1,0,-99,-0.099
1,"dotcolour","average","average",1.202,-1,1,-99,-0.099
1,"dotcolour","average","average",0.769,1,1,-99,-0.099
1,"dotcolour","average","average",0.686,1,1,-99,-0.099
1,"dotcolour","average","average",0.618,1,1,-99,-0.099
