"sub","task","traindiffcond","coh","rt","resp","cor","cj","RTconf","block"
1,"dotcolour","average","hard",2.688,-1,1,5,3.626,5
1,"dotcolour","average","easy",2.103,1,1,6,1.099,5
1,"dotcolour","average","average",1.954,1,1,6,0.345,5
1,"dotcolour","average","hard",1.553,1,0,6,0.263,5
1,"dotcolour","average","hard",1.353,1,1,5,0.272,5
1,"dotcolour","average","average",2.154,1,1,5,0.345,5
1,"dotcolour","average","easy",1.252,1,1,6,0.259,5
1,"dotcolour","average","average",1.136,1,1,5,0.246,5
1,"dotcolour","average","average",1.702,-1,1,4,0.897,5
1,"dotcolour","average","average",2.503,1,1,4,1.697,5
1,"dotcolour","average","average",0.919,1,1,5,0.258,5
1,"dotcolour","average","easy",0.718,1,1,6,0.518,5
1,"dotcolour","average","hard",1.236,1,0,2,1.193,5
1,"dotcolour","average","easy",0.936,1,1,6,0.446,5
1,"dotcolour","average","easy",1.036,-1,1,5,1.021,5
1,"dotcolour","average","average",0.819,-1,1,6,0.605,5
1,"dotcolour","average","hard",1.286,1,0,3,2.315,5
1,"dotcolour","average","hard",1.086,1,0,4,0.459,5
1,"dotcolour","average","average",0.852,1,1,5,0.881,5
1,"dotcolour","average","average",0.869,1,1,5,0.724,5
1,"dotcolour","average","average",0.869,-1,1,5,0.463,5
1,"dotcolour","average","easy",0.918,-1,1,6,0.242,5
1,"dotcolour","average","average",1.236,1,1,4,0.369,5
1,"dotcolour","average","easy",0.819,1,1,6,0.268,5
1,"dotcolour","average","hard",0.753,-1,1,6,0.302,5
1,"dotcolour","average","hard",1.954,1,1,3,1.517,5
1,"dotcolour","average","easy",0.902,1,1,6,0.325,5
1,"dotcolour","average","average",0.953,-1,1,5,0.22,5
1,"dotcolour","average","hard",1.319,1,1,4,0.313,5
1,"dotcolour","average","hard",1.537,1,1,5,0.217,5
1,"dotcolour","average","easy",1.103,-1,1,6,0.382,5
1,"dotcolour","average","average",0.919,-1,1,5,0.212,5
1,"dotcolour","average","easy",0.685,-1,1,5,0.555,5
1,"dotcolour","average","average",1.018,-1,1,5,0.246,5
1,"dotcolour","average","hard",0.902,1,1,5,0.387,5
1,"dotcolour","average","average",0.702,-1,1,5,0.274,5
1,"dotcolour","average","easy",0.785,-1,1,6,0.242,5
1,"dotcolour","average","average",1.019,1,1,4,0.25,5
1,"dotcolour","average","easy",0.818,-1,1,6,0.234,5
1,"dotcolour","average","easy",1.069,1,1,5,1.136,5
1,"dotcolour","average","easy",0.87,-1,1,6,0.361,5
1,"dotcolour","average","average",0.919,1,1,4,0.288,5
1,"dotcolour","average","average",0.752,1,1,5,0.273,5
1,"dotcolour","average","hard",1.486,-1,1,4,0.389,5
1,"dotcolour","average","easy",0.784,1,1,6,0.273,5
1,"dotcolour","average","easy",0.785,-1,1,6,0.256,5
1,"dotcolour","average","hard",0.752,1,1,5,0.243,5
1,"dotcolour","average","average",0.818,1,1,4,0.227,5
1,"dotcolour","average","easy",0.769,-1,1,6,0.246,5
1,"dotcolour","average","hard",1.57,-1,1,4,0.232,5
1,"dotcolour","average","hard",0.902,1,1,4,0.276,5
1,"dotcolour","average","hard",2.036,1,1,4,0.529,5
1,"dotcolour","average","average",1.269,-1,1,5,1.091,5
1,"dotcolour","average","average",1.086,-1,1,5,0.758,5
1,"dotcolour","average","hard",0.817,1,1,5,0.225,5
1,"dotcolour","average","hard",0.818,-1,1,2,0.578,5
1,"dotcolour","average","easy",1.151,1,1,5,0.375,5
1,"dotcolour","average","hard",1.635,1,1,4,0.576,5
1,"dotcolour","average","easy",0.836,-1,1,6,0.274,5
1,"dotcolour","average","hard",3.738,-1,0,4,0.297,5
1,"dotcolour","average","easy",0.769,1,1,6,0.313,5
1,"dotcolour","average","hard",1.302,1,0,3,1.347,5
1,"dotcolour","average","average",1.886,-1,1,4,0.49,5
1,"dotcolour","average","average",1.152,-1,1,4,0.322,5
1,"dotcolour","average","hard",1.253,1,0,4,0.333,5
1,"dotcolour","average","easy",0.869,1,1,5,0.231,5
1,"dotcolour","average","hard",1.219,-1,0,5,0.263,5
1,"dotcolour","average","average",0.82,-1,1,5,0.278,5
1,"dotcolour","average","easy",0.669,1,1,6,0.235,5
1,"dotcolour","average","easy",0.737,-1,1,6,0.271,5
1,"dotcolour","average","hard",0.836,-1,1,5,0.237,5
1,"dotcolour","average","easy",0.734,-1,1,6,0.256,5
1,"dotcolour","average","hard",1.536,-1,0,4,2.08,6
1,"dotcolour","average","hard",1.92,1,0,5,0.296,6
1,"dotcolour","average","average",2.254,-1,1,3,0.299,6
1,"dotcolour","average","easy",0.835,1,1,6,0.424,6
1,"dotcolour","average","easy",0.819,-1,1,6,0.449,6
1,"dotcolour","average","hard",1.603,1,0,5,1.72,6
1,"dotcolour","average","easy",2.036,1,1,6,0.585,6
1,"dotcolour","average","easy",1.237,-1,1,6,1.566,6
1,"dotcolour","average","average",1.42,1,0,4,1.583,6
1,"dotcolour","average","hard",1.736,1,1,4,0.274,6
1,"dotcolour","average","hard",1.352,-1,0,4,0.283,6
1,"dotcolour","average","easy",0.835,1,1,6,0.584,6
1,"dotcolour","average","average",1.836,1,1,5,0.4,6
1,"dotcolour","average","easy",0.802,-1,1,5,0.251,6
1,"dotcolour","average","hard",1.402,-1,1,5,0.946,6
1,"dotcolour","average","hard",1.603,1,0,4,0.838,6
1,"dotcolour","average","average",4.205,1,0,1,0.531,6
1,"dotcolour","average","hard",1.819,1,0,4,2.814,6
1,"dotcolour","average","average",0.868,1,1,5,0.243,6
1,"dotcolour","average","average",1.219,-1,1,4,0.546,6
1,"dotcolour","average","average",1.52,1,0,5,0.345,6
1,"dotcolour","average","easy",0.852,-1,1,5,0.372,6
1,"dotcolour","average","easy",0.702,-1,1,5,0.212,6
1,"dotcolour","average","hard",2.02,1,1,5,1.236,6
1,"dotcolour","average","easy",0.902,1,1,6,0.696,6
1,"dotcolour","average","hard",1.737,-1,1,4,0.4,6
1,"dotcolour","average","hard",2.487,1,0,3,1.372,6
1,"dotcolour","average","hard",1.302,1,1,4,0.314,6
1,"dotcolour","average","hard",1.67,1,0,3,0.276,6
1,"dotcolour","average","hard",1.786,-1,0,4,0.667,6
1,"dotcolour","average","easy",0.769,-1,1,5,0.219,6
1,"dotcolour","average","average",1.169,1,1,4,0.318,6
1,"dotcolour","average","easy",1.069,-1,1,5,0.288,6
1,"dotcolour","average","easy",1.77,-1,0,1,0.328,6
1,"dotcolour","average","easy",1.036,-1,1,6,0.572,6
1,"dotcolour","average","easy",0.935,1,1,6,0.265,6
1,"dotcolour","average","average",1.353,-1,1,5,0.259,6
1,"dotcolour","average","hard",4.589,1,0,4,0.248,6
1,"dotcolour","average","easy",0.686,-1,1,5,1.421,6
1,"dotcolour","average","average",0.902,1,1,5,0.281,6
1,"dotcolour","average","hard",1.62,1,1,4,0.294,6
1,"dotcolour","average","easy",0.735,-1,1,5,0.952,6
1,"dotcolour","average","hard",1.269,1,1,2,0.744,6
1,"dotcolour","average","average",2.637,-1,1,4,2.49,6
1,"dotcolour","average","average",1.036,1,1,5,0.229,6
1,"dotcolour","average","easy",0.918,1,1,5,0.497,6
1,"dotcolour","average","average",3.372,1,1,1,0.27,6
1,"dotcolour","average","average",1.97,1,0,2,0.302,6
1,"dotcolour","average","easy",0.985,1,1,5,0.549,6
1,"dotcolour","average","average",1.186,1,1,5,0.473,6
1,"dotcolour","average","average",1.118,1,0,4,0.291,6
1,"dotcolour","average","easy",0.669,1,1,6,0.264,6
1,"dotcolour","average","average",1.753,1,1,4,0.289,6
1,"dotcolour","average","average",2.137,1,1,4,0.328,6
1,"dotcolour","average","average",1.302,1,1,5,0.225,6
1,"dotcolour","average","average",1.453,-1,1,5,0.28,6
1,"dotcolour","average","easy",1.019,1,1,5,0.254,6
1,"dotcolour","average","average",1.335,-1,1,5,0.265,6
1,"dotcolour","average","hard",1.252,1,0,2,0.438,6
1,"dotcolour","average","easy",1.27,-1,1,6,0.299,6
1,"dotcolour","average","hard",1.169,1,1,5,0.554,6
1,"dotcolour","average","average",1.469,1,1,5,0.195,6
1,"dotcolour","average","average",0.802,1,1,5,0.262,6
1,"dotcolour","average","hard",0.901,-1,0,5,1.154,6
1,"dotcolour","average","easy",0.718,1,1,6,0.289,6
1,"dotcolour","average","easy",1.118,-1,1,5,0.851,6
1,"dotcolour","average","average",0.818,-1,1,5,0.282,6
1,"dotcolour","average","hard",1.352,-1,1,4,0.258,6
