"sub","task","selfconf","coh","rt","resp","cor","cj","RTconf"
1,"dotcolour","lowSC","easy",0.635,1,1,6,1.886
1,"dotcolour","lowSC","average",0.435,1,1,6,0.267
1,"dotcolour","lowSC","average",0.468,-1,1,1,0.552
1,"dotcolour","lowSC","hard",1.703,-1,0,4,0.936
1,"dotcolour","lowSC","hard",1.202,-1,1,5,0.717
1,"dotcolour","lowSC","average",0.635,1,1,6,0.289
1,"dotcolour","lowSC","average",0.735,-1,1,6,0.354
1,"dotcolour","lowSC","hard",0.751,-1,1,5,0.273
1,"dotcolour","lowSC","hard",0.869,-1,1,4,0.686
1,"dotcolour","lowSC","easy",0.535,1,1,6,0.248
1,"dotcolour","lowSC","average",0.886,1,1,5,0.277
1,"dotcolour","lowSC","average",0.569,-1,1,6,0.206
1,"dotcolour","lowSC","hard",0.868,-1,1,4,0.846
1,"dotcolour","lowSC","average",0.468,1,1,5,0.229
1,"dotcolour","lowSC","hard",0.685,-1,1,4,0.875
1,"dotcolour","lowSC","average",0.601,-1,1,5,0.555
1,"dotcolour","lowSC","average",0.518,-1,1,4,0.251
1,"dotcolour","lowSC","hard",0.668,1,1,4,0.209
1,"dotcolour","lowSC","hard",0.535,1,1,4,0.302
1,"dotcolour","lowSC","easy",0.435,-1,1,6,0.188
1,"dotcolour","lowSC","hard",0.635,-1,0,4,0.294
1,"dotcolour","lowSC","easy",0.552,1,1,6,0.128
1,"dotcolour","lowSC","easy",0.453,1,1,6,0.228
1,"dotcolour","lowSC","hard",0.602,-1,1,4,1.102
1,"dotcolour","lowSC","average",0.485,-1,1,5,0.264
1,"dotcolour","lowSC","hard",0.568,1,1,4,0.338
1,"dotcolour","lowSC","hard",0.501,-1,1,5,0.3
1,"dotcolour","lowSC","easy",0.567,1,1,6,0.227
1,"dotcolour","lowSC","hard",0.635,-1,0,4,0.428
1,"dotcolour","lowSC","easy",0.468,-1,1,6,0.195
1,"dotcolour","lowSC","easy",0.402,-1,1,6,0.215
1,"dotcolour","lowSC","hard",0.785,1,0,3,0.394
1,"dotcolour","lowSC","easy",0.652,-1,1,6,0.219
1,"dotcolour","lowSC","easy",0.434,-1,1,6,0.204
1,"dotcolour","lowSC","average",0.518,1,1,6,0.011
1,"dotcolour","lowSC","easy",0.736,1,1,6,0.248
1,"dotcolour","lowSC","average",0.551,-1,1,6,0.146
1,"dotcolour","lowSC","easy",0.402,-1,1,6,0.247
1,"dotcolour","lowSC","easy",0.468,1,1,6,0.246
1,"dotcolour","lowSC","average",0.418,1,1,5,0.247
1,"dotcolour","lowSC","hard",0.986,1,1,4,0.288
1,"dotcolour","lowSC","hard",0.702,1,1,4,0.387
1,"dotcolour","lowSC","easy",0.468,-1,1,6,0.252
1,"dotcolour","lowSC","average",0.485,1,1,6,0.073
1,"dotcolour","lowSC","average",0.503,-1,1,6,0.221
1,"dotcolour","lowSC","easy",0.501,1,1,6,0.22
