"sub","task","traindiffcond","coh","rt","resp","cor","cj","RTconf"
1,"dotcolour","average","hard",2.688,-1,1,5,3.626
1,"dotcolour","average","easy",2.103,1,1,6,1.099
1,"dotcolour","average","average",1.954,1,1,6,0.345
1,"dotcolour","average","hard",1.553,1,0,6,0.263
1,"dotcolour","average","hard",1.353,1,1,5,0.272
1,"dotcolour","average","average",2.154,1,1,5,0.345
1,"dotcolour","average","easy",1.252,1,1,6,0.259
1,"dotcolour","average","average",1.136,1,1,5,0.246
1,"dotcolour","average","average",1.702,-1,1,4,0.897
1,"dotcolour","average","average",2.503,1,1,4,1.697
1,"dotcolour","average","average",0.919,1,1,5,0.258
1,"dotcolour","average","easy",0.718,1,1,6,0.518
1,"dotcolour","average","hard",1.236,1,0,2,1.193
1,"dotcolour","average","easy",0.936,1,1,6,0.446
1,"dotcolour","average","easy",1.036,-1,1,5,1.021
1,"dotcolour","average","average",0.819,-1,1,6,0.605
1,"dotcolour","average","hard",1.286,1,0,3,2.315
1,"dotcolour","average","hard",1.086,1,0,4,0.459
1,"dotcolour","average","average",0.852,1,1,5,0.881
1,"dotcolour","average","average",0.869,1,1,5,0.724
1,"dotcolour","average","average",0.869,-1,1,5,0.463
1,"dotcolour","average","easy",0.918,-1,1,6,0.242
1,"dotcolour","average","average",1.236,1,1,4,0.369
1,"dotcolour","average","easy",0.819,1,1,6,0.268
1,"dotcolour","average","hard",0.753,-1,1,6,0.302
1,"dotcolour","average","hard",1.954,1,1,3,1.517
1,"dotcolour","average","easy",0.902,1,1,6,0.325
1,"dotcolour","average","average",0.953,-1,1,5,0.22
1,"dotcolour","average","hard",1.319,1,1,4,0.313
1,"dotcolour","average","hard",1.537,1,1,5,0.217
1,"dotcolour","average","easy",1.103,-1,1,6,0.382
1,"dotcolour","average","average",0.919,-1,1,5,0.212
1,"dotcolour","average","easy",0.685,-1,1,5,0.555
1,"dotcolour","average","average",1.018,-1,1,5,0.246
1,"dotcolour","average","hard",0.902,1,1,5,0.387
1,"dotcolour","average","average",0.702,-1,1,5,0.274
1,"dotcolour","average","easy",0.785,-1,1,6,0.242
1,"dotcolour","average","average",1.019,1,1,4,0.25
1,"dotcolour","average","easy",0.818,-1,1,6,0.234
1,"dotcolour","average","easy",1.069,1,1,5,1.136
1,"dotcolour","average","easy",0.87,-1,1,6,0.361
1,"dotcolour","average","average",0.919,1,1,4,0.288
1,"dotcolour","average","average",0.752,1,1,5,0.273
1,"dotcolour","average","hard",1.486,-1,1,4,0.389
1,"dotcolour","average","easy",0.784,1,1,6,0.273
1,"dotcolour","average","easy",0.785,-1,1,6,0.256
1,"dotcolour","average","hard",0.752,1,1,5,0.243
1,"dotcolour","average","average",0.818,1,1,4,0.227
1,"dotcolour","average","easy",0.769,-1,1,6,0.246
1,"dotcolour","average","hard",1.57,-1,1,4,0.232
1,"dotcolour","average","hard",0.902,1,1,4,0.276
1,"dotcolour","average","hard",2.036,1,1,4,0.529
1,"dotcolour","average","average",1.269,-1,1,5,1.091
1,"dotcolour","average","average",1.086,-1,1,5,0.758
1,"dotcolour","average","hard",0.817,1,1,5,0.225
1,"dotcolour","average","hard",0.818,-1,1,2,0.578
1,"dotcolour","average","easy",1.151,1,1,5,0.375
1,"dotcolour","average","hard",1.635,1,1,4,0.576
1,"dotcolour","average","easy",0.836,-1,1,6,0.274
1,"dotcolour","average","hard",3.738,-1,0,4,0.297
1,"dotcolour","average","easy",0.769,1,1,6,0.313
1,"dotcolour","average","hard",1.302,1,0,3,1.347
1,"dotcolour","average","average",1.886,-1,1,4,0.49
1,"dotcolour","average","average",1.152,-1,1,4,0.322
1,"dotcolour","average","hard",1.253,1,0,4,0.333
1,"dotcolour","average","easy",0.869,1,1,5,0.231
1,"dotcolour","average","hard",1.219,-1,0,5,0.263
1,"dotcolour","average","average",0.82,-1,1,5,0.278
1,"dotcolour","average","easy",0.669,1,1,6,0.235
1,"dotcolour","average","easy",0.737,-1,1,6,0.271
1,"dotcolour","average","hard",0.836,-1,1,5,0.237
1,"dotcolour","average","easy",0.734,-1,1,6,0.256
1,"dotcolour","average","hard",1.536,-1,0,4,2.08
1,"dotcolour","average","hard",1.92,1,0,5,0.296
1,"dotcolour","average","average",2.254,-1,1,3,0.299
1,"dotcolour","average","easy",0.835,1,1,6,0.424
1,"dotcolour","average","easy",0.819,-1,1,6,0.449
1,"dotcolour","average","hard",1.603,1,0,5,1.72
1,"dotcolour","average","easy",2.036,1,1,6,0.585
1,"dotcolour","average","easy",6.79,1,1,1,0.439
1,"dotcolour","average","easy",1.237,-1,1,6,1.566
1,"dotcolour","average","average",1.42,1,0,4,1.583
1,"dotcolour","average","hard",1.736,1,1,4,0.274
1,"dotcolour","average","hard",1.352,-1,0,4,0.283
1,"dotcolour","average","easy",0.835,1,1,6,0.584
1,"dotcolour","average","average",1.836,1,1,5,0.4
1,"dotcolour","average","easy",0.802,-1,1,5,0.251
1,"dotcolour","average","hard",1.402,-1,1,5,0.946
1,"dotcolour","average","hard",1.603,1,0,4,0.838
1,"dotcolour","average","average",4.205,1,0,1,0.531
1,"dotcolour","average","hard",1.819,1,0,4,2.814
1,"dotcolour","average","average",0.868,1,1,5,0.243
1,"dotcolour","average","average",1.219,-1,1,4,0.546
1,"dotcolour","average","average",1.52,1,0,5,0.345
1,"dotcolour","average","easy",0.852,-1,1,5,0.372
1,"dotcolour","average","easy",0.702,-1,1,5,0.212
1,"dotcolour","average","hard",2.02,1,1,5,1.236
1,"dotcolour","average","easy",0.902,1,1,6,0.696
1,"dotcolour","average","hard",1.737,-1,1,4,0.4
1,"dotcolour","average","hard",7.241,1,1,4,1.091
1,"dotcolour","average","hard",2.487,1,0,3,1.372
1,"dotcolour","average","hard",1.302,1,1,4,0.314
1,"dotcolour","average","hard",1.67,1,0,3,0.276
1,"dotcolour","average","hard",1.786,-1,0,4,0.667
1,"dotcolour","average","easy",0.769,-1,1,5,0.219
1,"dotcolour","average","average",1.169,1,1,4,0.318
1,"dotcolour","average","easy",1.069,-1,1,5,0.288
1,"dotcolour","average","easy",1.77,-1,0,1,0.328
1,"dotcolour","average","easy",1.036,-1,1,6,0.572
1,"dotcolour","average","easy",0.935,1,1,6,0.265
1,"dotcolour","average","average",1.353,-1,1,5,0.259
1,"dotcolour","average","hard",4.589,1,0,4,0.248
1,"dotcolour","average","easy",0.686,-1,1,5,1.421
1,"dotcolour","average","average",0.902,1,1,5,0.281
1,"dotcolour","average","hard",1.62,1,1,4,0.294
1,"dotcolour","average","easy",0.735,-1,1,5,0.952
1,"dotcolour","average","hard",1.269,1,1,2,0.744
1,"dotcolour","average","average",2.637,-1,1,4,2.49
1,"dotcolour","average","average",1.036,1,1,5,0.229
1,"dotcolour","average","easy",0.918,1,1,5,0.497
1,"dotcolour","average","average",3.372,1,1,1,0.27
1,"dotcolour","average","average",1.97,1,0,2,0.302
1,"dotcolour","average","easy",0.985,1,1,5,0.549
1,"dotcolour","average","average",1.186,1,1,5,0.473
1,"dotcolour","average","average",1.118,1,0,4,0.291
1,"dotcolour","average","easy",0.669,1,1,6,0.264
1,"dotcolour","average","average",1.753,1,1,4,0.289
1,"dotcolour","average","average",2.137,1,1,4,0.328
1,"dotcolour","average","average",1.302,1,1,5,0.225
1,"dotcolour","average","average",1.453,-1,1,5,0.28
1,"dotcolour","average","easy",1.019,1,1,5,0.254
1,"dotcolour","average","average",1.335,-1,1,5,0.265
1,"dotcolour","average","hard",1.252,1,0,2,0.438
1,"dotcolour","average","easy",1.27,-1,1,6,0.299
1,"dotcolour","average","hard",1.169,1,1,5,0.554
1,"dotcolour","average","average",1.469,1,1,5,0.195
1,"dotcolour","average","average",0.802,1,1,5,0.262
1,"dotcolour","average","hard",0.901,-1,0,5,1.154
1,"dotcolour","average","easy",0.718,1,1,6,0.289
1,"dotcolour","average","easy",1.118,-1,1,5,0.851
1,"dotcolour","average","average",0.818,-1,1,5,0.282
1,"dotcolour","average","hard",1.352,-1,1,4,0.258
1,"dotcolour","average","hard",1.336,1,1,4,0.252
1,"dotcolour","average","hard",1.336,-1,1,4,0.247
1,"dotcolour","average","easy",1.086,-1,1,5,0.805
1,"dotcolour","average","average",2.771,-1,1,1,0.718
1,"dotcolour","average","hard",7.241,1,0,1,0.451
1,"dotcolour","average","average",1.069,1,0,2,0.272
1,"dotcolour","average","average",0.986,1,1,4,0.264
1,"dotcolour","average","easy",0.719,1,1,6,0.283
1,"dotcolour","average","average",1.953,-1,0,4,0.267
1,"dotcolour","average","average",2.27,1,1,4,0.222
1,"dotcolour","average","easy",0.735,1,1,5,0.563
1,"dotcolour","average","easy",0.602,-1,1,6,0.415
1,"dotcolour","average","average",1.769,-1,1,5,0.289
1,"dotcolour","average","easy",0.902,-1,1,6,0.3
1,"dotcolour","average","hard",2.904,1,0,3,1.908
1,"dotcolour","average","average",0.835,1,1,5,0.255
1,"dotcolour","average","hard",1.586,-1,0,4,0.319
1,"dotcolour","average","hard",4.472,-1,0,3,0.934
1,"dotcolour","average","hard",1.101,1,1,4,0.238
1,"dotcolour","average","easy",0.735,1,1,5,0.226
1,"dotcolour","average","easy",0.919,-1,1,6,0.175
1,"dotcolour","average","average",1.236,1,1,5,0.192
1,"dotcolour","average","easy",0.835,-1,1,5,0.226
1,"dotcolour","average","easy",1.201,1,1,5,1.171
1,"dotcolour","average","easy",0.702,1,1,5,0.258
1,"dotcolour","average","easy",1.12,1,1,5,0.581
1,"dotcolour","average","average",0.951,-1,1,5,0.29
1,"dotcolour","average","average",2.053,1,0,4,0.269
1,"dotcolour","average","hard",1.236,-1,1,4,0.411
1,"dotcolour","average","easy",1.219,-1,1,4,0.228
1,"dotcolour","average","hard",1.386,1,1,4,0.238
1,"dotcolour","average","average",1.202,1,1,3,1.006
1,"dotcolour","average","hard",1.403,1,1,4,0.599
1,"dotcolour","average","hard",2.42,-1,1,4,0.439
1,"dotcolour","average","easy",0.803,1,1,5,0.24
1,"dotcolour","average","easy",0.752,-1,1,5,0.243
1,"dotcolour","average","average",2.137,1,0,4,0.333
1,"dotcolour","average","hard",1.351,1,0,4,0.243
1,"dotcolour","average","easy",0.851,1,1,5,0.242
1,"dotcolour","average","easy",0.868,1,1,6,0.832
1,"dotcolour","average","easy",1.836,-1,1,5,0.798
1,"dotcolour","average","easy",1.438,-1,1,5,0.222
1,"dotcolour","average","hard",1.419,1,1,5,0.918
1,"dotcolour","average","average",1.336,-1,1,4,0.245
1,"dotcolour","average","hard",1.069,1,0,5,0.203
1,"dotcolour","average","average",1.719,-1,1,4,1.08
1,"dotcolour","average","easy",1.019,1,1,5,0.558
1,"dotcolour","average","hard",0.819,-1,1,5,0.241
1,"dotcolour","average","hard",1.452,1,0,5,0.327
1,"dotcolour","average","hard",3.22,1,1,5,0.21
1,"dotcolour","average","easy",0.902,-1,1,5,0.224
1,"dotcolour","average","hard",0.919,1,1,5,0.428
1,"dotcolour","average","average",1.035,1,1,4,0.268
1,"dotcolour","average","average",2.787,-1,1,4,0.363
1,"dotcolour","average","average",1.019,1,1,5,0.462
1,"dotcolour","average","hard",3.488,-1,1,3,1.08
1,"dotcolour","average","average",0.918,1,1,4,0.754
1,"dotcolour","average","average",0.885,1,1,5,0.17
1,"dotcolour","average","easy",0.868,1,1,6,0.267
1,"dotcolour","average","average",1.018,-1,1,5,0.226
1,"dotcolour","average","hard",1.837,1,1,5,0.217
1,"dotcolour","average","average",1.803,1,1,5,0.258
1,"dotcolour","average","average",1.453,-1,1,5,0.711
